IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.27.24.157,223,244,231,0
104.20.140.167,222,241,231,0
104.24.16.102,216,251,231,0
104.20.21.33,216,245,231,0
104.24.90.30,214,251,231,0
104.20.60.168,218,243,231,0
172.67.54.251,220,245,231,0
104.20.96.217,218,284,231,0
104.25.74.158,216,250,231,0
104.22.17.43,220,248,231,0
104.20.208.170,218,246,231,0
104.23.126.181,216,253,231,0
104.25.97.58,219,254,231,0
104.20.107.194,212,252,231,0
104.20.30.39,219,254,231,0
104.27.58.16,215,251,231,0
104.25.143.247,218,245,231,0
104.20.31.202,216,247,231,0
104.25.191.248,224,239,231,0
104.22.61.244,219,243,231,0
104.20.219.205,218,237,231,0
104.20.182.117,213,257,231,0
104.25.176.219,219,258,231,0
104.20.27.144,219,246,231,0
104.24.88.234,222,247,231,0
104.24.219.101,223,241,232,0
104.24.3.253,221,251,232,0
104.24.86.255,214,250,232,0
104.20.150.8,217,264,232,0
172.67.9.114,216,248,232,0
104.25.183.51,215,251,232,0
172.67.107.119,215,251,232,0
104.22.53.128,214,259,232,0
104.24.34.246,213,249,232,0
141.101.113.152,216,246,232,0
172.67.117.114,219,253,232,0
172.67.14.91,216,255,232,0
104.24.62.185,223,255,232,0
104.23.132.82,220,247,232,0
104.27.30.255,218,254,232,0
104.25.195.177,225,239,232,0
104.25.85.7,219,252,232,0
104.24.61.22,218,254,232,0
104.20.235.4,215,256,232,0
104.20.172.146,221,248,232,0
172.67.101.122,215,246,232,0
104.24.182.112,215,251,232,0
104.20.135.147,216,251,232,0
104.27.115.73,217,256,232,0
104.24.188.191,220,246,232,0
172.65.162.182,221,250,232,0
104.25.98.208,216,267,232,0
172.67.119.46,221,246,232,0
104.25.70.237,215,251,232,0
172.67.42.254,217,244,232,0
104.25.127.64,219,245,232,0
104.25.101.134,217,252,232,0
104.27.61.211,218,255,232,0
104.22.58.238,217,247,232,0
104.27.86.166,221,241,232,0
104.27.92.172,218,245,232,0
104.20.224.151,219,246,232,0
104.23.119.2,222,255,232,0
104.23.99.175,224,249,232,0
104.20.16.33,222,255,232,0
104.24.94.9,226,242,232,0
104.25.245.193,220,245,232,0
104.20.87.82,217,255,232,0
104.27.5.184,218,243,232,0
104.20.199.208,221,242,232,0
104.27.202.132,221,250,232,0
172.67.69.2,215,247,232,0
104.24.193.185,217,246,232,0
104.20.84.170,218,252,232,0
104.25.86.110,219,251,232,0
104.23.141.46,217,257,232,0
104.20.94.245,222,262,232,0
104.22.37.208,223,248,232,0
104.27.66.17,216,250,232,0
104.24.87.42,221,249,232,0
104.20.55.63,222,247,232,0
104.22.12.35,212,250,232,0
104.20.215.166,221,254,232,0
104.25.31.235,218,252,232,0
172.67.67.139,218,247,233,0
104.20.137.196,221,245,233,0
104.27.120.22,223,253,233,0
104.24.148.147,216,263,233,0
104.27.87.98,220,245,233,0
104.25.110.13,227,251,233,0
172.67.112.84,221,252,233,0
104.27.17.247,218,249,233,0
172.67.12.248,223,248,233,0
104.26.13.92,223,239,233,0
104.24.67.239,219,261,233,0
